[Example 1]
state: (42, 11, 16, 13) | action: 0
state: (40, 11, 14, 13) | action: 0
state: (38, 11, 12, 13) | action: 0
state: (36, 11, 10, 13) | action: 0
state: (34, 11, 8, 13) | action: 0
state: (32, 11, 6, 13) | action: 0
state: (30, 11, 4, 13) | action: 1
state: (28, 10, 4, 13) | action: 1
state: (26, 9, 4, 13) | action: 1
state: (24, 8, 4, 13) | action: 1
state: (22, 7, 4, 13) | action: 0
state: (20, 7, 2, 13) | action: 1
state: (18, 6, 2, 13) | action: 1
state: (16, 5, 2, 13) | action: 1
state: (14, 4, 2, 13) | action: 1
state: (12, 3, 2, 13) | action: 0
state: (10, 3, 0, 13) | action: 1
state: (8, 2, 0, 13) | action: 1
state: (6, 1, 0, 13) | action: 3
state: (6, 0, 0, 12) | action: 2
state: (6, 0, 0, 11) | action: 0
state: (4, 0, 0, 11) | action: 2
state: (4, 0, 0, 10) | action: 2
state: (4, 0, 0, 9) | action: 2
state: (4, 0, 0, 8) | action: 2
state: (4, 0, 0, 7) | action: 0
state: (2, 0, 0, 7) | action: 2
state: (2, 0, 0, 6) | action: 2
state: (2, 0, 0, 5) | action: 2
state: (2, 0, 0, 4) | action: 2
state: (2, 0, 0, 3) | action: 0
state: (0, 0, 0, 3) | action: 2
state: (0, 0, 0, 2) | action: 2
state: (0, 0, 0, 1) | action: 2

[Example 2]
state: (1, 3, 3, 17) | action: 2
state: (1, 3, 1, 16) | action: 3
state: (1, 2, 1, 15) | action: 3
state: (1, 1, 1, 14) | action: 2
state: (1, 1, 0, 13) | action: 3
state: (1, 0, 0, 12) | action: 2
state: (1, 0, 0, 11) | action: 2
state: (1, 0, 0, 10) | action: 2
state: (1, 0, 0, 9) | action: 2
state: (1, 0, 0, 8) | action: 2
state: (1, 0, 0, 7) | action: 2
state: (1, 0, 0, 6) | action: 2
state: (1, 0, 0, 5) | action: 2
state: (1, 0, 0, 4) | action: 2
state: (1, 0, 0, 3) | action: 2
state: (1, 0, 0, 2) | action: 2
state: (1, 0, 0, 1) | action: 0
state: (0, 0, 0, 1) | action: 2

[Example 3]
state: (24, 23, 5, 21) | action: 1
state: (22, 22, 5, 21) | action: 1
state: (20, 21, 5, 21) | action: 1
state: (18, 20, 5, 21) | action: 1
state: (16, 19, 5, 21) | action: 1
state: (14, 18, 5, 21) | action: 1
state: (12, 17, 5, 21) | action: 1
